Paris,2024-04-16T14:46:50.416047,10.56
London,2024-04-16T14:46:50.444266,8.93
New York City,2024-04-16T14:46:50.465387,20.95
Paris,2024-04-16T14:51:10.674498,10.56,N/A
London,2024-04-16T14:51:10.695864,8.93,N/A
New York City,2024-04-16T14:51:10.756752,21.2,N/A
Paris,2024-04-16T14:53:56.301245,10.47,N/A
London,2024-04-16T14:53:56.319699,8.77,N/A
New York City,2024-04-16T14:53:56.342771,21.26,N/A
Paris,2024-04-16T14:56:06.003840,10.47,N/A
London,2024-04-16T14:56:06.024156,8.77,N/A
New York City,2024-04-16T14:56:06.043405,21.26,N/A
Paris,2024-04-16T14:57:45.323559,10.47,N/A
London,2024-04-16T14:57:45.339920,8.77,N/A
New York City,2024-04-16T14:57:45.360374,21.26,N/A
Paris,2024-04-16T14:58:38.781635,10.45,N/A
London,2024-04-16T14:58:38.802387,8.74,N/A
New York City,2024-04-16T14:58:38.829369,21.27,N/A
Paris,2024-04-16T14:58:45.988578,10.45,N/A
London,2024-04-16T14:58:46.005697,8.74,N/A
New York City,2024-04-16T14:58:46.023359,21.27,N/A
